City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Arraial Do Cabo,BR,2022-01-25 18:58:09,-22.9661,-42.0278,85.96,74,0,19.57
97,Boende,CD,2022-01-25 18:58:10,-0.2167,20.8667,82.0,50,88,2.39
98,Auki,SB,2022-01-25 18:58:11,-8.7676,160.7034,78.78,87,100,4.9
99,Tasiilaq,GL,2022-01-25 18:58:11,65.6145,-37.6368,4.08,92,32,7.2
100,Daru,PG,2022-01-25 18:58:16,-9.0763,143.2092,79.36,82,100,2.26
101,Chuy,UY,2022-01-25 18:58:17,-33.6971,-53.4616,85.24,66,93,10.22
102,Gloucester,GB,2022-01-25 18:57:01,51.8657,-2.2431,40.78,87,100,3.0
103,Cape Town,ZA,2022-01-25 18:58:18,-33.9258,18.4232,68.41,70,20,7.0
104,Luang Prabang,LA,2022-01-25 18:58:18,19.8856,102.1347,62.42,79,0,0.98
105,Kaka,TM,2022-01-25 18:58:19,37.3482,59.6143,41.29,44,0,5.17
106,Aklavik,CA,2022-01-25 18:58:19,68.2191,-135.0107,37.4,65,75,4.61
107,Loncoche,CL,2022-01-25 18:58:20,-39.3667,-72.6333,83.07,25,0,4.74
108,Esil,KZ,2022-01-25 18:58:21,51.9556,66.4042,-0.06,90,100,5.79
109,Salalah,OM,2022-01-25 18:58:21,17.0151,54.0924,69.4,33,1,4.7
110,Saint-Georges,GD,2022-01-25 18:58:22,12.0564,-61.7485,83.88,65,20,21.85
111,Mar Del Plata,AR,2022-01-25 18:58:23,-38.0023,-57.5575,82.42,84,75,15.99
112,Yerbogachen,RU,2022-01-25 18:58:23,61.2767,108.0108,-15.2,100,96,2.84
113,Sambava,MG,2022-01-25 18:54:17,-14.2667,50.1667,76.08,84,100,6.08
114,Storforshei,NO,2022-01-25 18:58:25,66.4043,14.5233,31.66,93,100,5.75
115,Dilla,ET,2022-01-25 18:58:25,6.41,38.31,65.14,43,11,4.88
116,Lavrentiya,RU,2022-01-25 18:58:26,65.5833,-171.0,-19.43,86,100,5.48
117,Longview,US,2022-01-25 18:58:26,32.5007,-94.7405,55.98,63,12,1.01
118,Moree,AU,2022-01-25 18:58:27,-29.4667,149.85,71.62,88,100,5.75
119,Mount Darwin,ZW,2022-01-25 18:58:27,-16.7725,31.5838,65.98,99,100,9.46
120,Castro,BR,2022-01-25 18:58:28,-24.7911,-50.0119,85.35,40,6,2.26
121,Viedma,AR,2022-01-25 18:58:29,-40.8135,-62.9967,84.61,36,0,17.13
122,Prince Rupert,CA,2022-01-25 18:58:29,54.3161,-130.3201,42.89,87,100,3.44
123,Sacel,RO,2022-01-25 18:58:30,47.6333,24.4333,14.09,97,100,0.67
124,Faya,SA,2022-01-25 18:58:30,18.3851,42.4509,57.31,78,10,3.62
125,Santa Maria,BR,2022-01-25 18:58:31,-29.6842,-53.8069,94.3,55,20,5.75
126,Khuzhir,RU,2022-01-25 18:58:31,53.1939,107.3397,0.39,83,41,2.55
127,Hobart,AU,2022-01-25 18:55:13,-42.8794,147.3294,60.66,79,100,1.01
128,Geraldton,AU,2022-01-25 18:58:32,-28.7667,114.6,66.61,77,0,11.5
129,Surt,LY,2022-01-25 18:55:06,31.2089,16.5887,52.79,52,92,22.1
130,Iralaya,HN,2022-01-25 18:58:33,15.0,-83.2333,86.09,63,1,7.47
131,Kargasok,RU,2022-01-25 18:58:34,59.0556,80.8572,-6.93,100,99,5.53
132,Guerrero Negro,MX,2022-01-25 18:58:34,27.9769,-114.0611,66.27,45,31,7.99
133,Norman Wells,CA,2022-01-25 18:58:35,65.282,-126.8329,1.44,85,75,2.3
134,Sibolga,ID,2022-01-25 18:58:36,1.7427,98.7792,76.14,91,100,1.92
135,Meulaboh,ID,2022-01-25 18:59:36,4.1363,96.1285,76.46,89,75,3.04
