City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Santander,ES,2022-01-26 16:11:11,43.4647,-3.8044,56.32,65,0,10.0
116,Kindu,CD,2022-01-26 16:15:00,-2.95,25.95,76.75,82,97,2.55
117,Quatre Cocos,MU,2022-01-26 16:15:01,-20.2078,57.7625,77.11,62,2,12.17
118,Bonavista,CA,2022-01-26 16:15:02,48.6499,-53.1147,39.11,97,100,14.99
119,Dikson,RU,2022-01-26 16:15:02,73.5069,80.5464,13.01,93,100,28.83
120,Khuzhir,RU,2022-01-26 16:12:13,53.1939,107.3397,3.6,92,92,1.68
121,Frankenberg,DE,2022-01-26 16:15:03,51.0667,8.8,35.33,84,100,7.25
122,Esperance,AU,2022-01-26 16:15:04,-33.8667,121.9,65.46,85,100,9.44
123,Tucurui,BR,2022-01-26 16:15:04,-3.7661,-49.6725,83.23,76,76,3.4
124,Santa Vitoria Do Palmar,BR,2022-01-26 16:15:05,-33.5189,-53.3681,70.79,98,100,6.11
125,Paciran,ID,2022-01-26 16:15:05,-6.8767,112.3761,79.36,87,94,14.61
126,Evensk,RU,2022-01-26 16:12:16,61.95,159.2333,1.53,87,100,7.07
127,Itarema,BR,2022-01-26 16:15:06,-2.9248,-39.9167,86.7,60,84,16.13
128,Necochea,AR,2022-01-26 16:15:07,-38.5473,-58.7368,71.04,43,50,23.33
129,Nikolskoye,RU,2022-01-26 16:15:08,59.7035,30.7861,26.71,93,100,6.58
130,Watsa,CD,2022-01-26 16:15:08,3.0372,29.5355,81.81,28,28,3.22
131,Quang Ngai,VN,2022-01-26 16:15:09,15.1167,108.8,70.27,93,5,3.69
132,Hualmay,PE,2022-01-26 16:15:09,-11.0964,-77.6139,75.07,73,51,9.8
133,Mitsamiouli,KM,2022-01-26 16:15:10,-11.3847,43.2844,81.05,75,89,5.91
134,Calama,CL,2022-01-26 16:15:11,-22.4667,-68.9333,73.89,20,20,20.71
135,Pontianak,ID,2022-01-26 16:15:11,-0.0333,109.3333,78.78,94,40,0.0
136,Lata,PT,2022-01-26 16:15:12,40.1629,-8.3327,60.93,47,7,5.28
137,Iqaluit,CA,2022-01-26 16:15:12,63.7506,-68.5145,-18.31,68,100,3.44
138,Aykhal,RU,2022-01-26 16:15:13,66.0,111.5,-5.73,82,98,5.19
139,Phan Thiet,VN,2022-01-26 16:12:54,10.9333,108.1,73.31,88,12,5.12
140,Natchitoches,US,2022-01-26 16:16:14,31.7668,-93.1335,39.18,44,0,9.22
141,La Palma,US,2022-01-26 16:16:14,33.8464,-118.0467,61.3,89,100,0.0
142,Okato,NZ,2022-01-26 16:16:15,-39.2,173.8833,61.92,85,56,17.16
143,Indian Head,US,2022-01-26 16:16:16,38.6001,-77.1622,33.24,43,0,8.01
