City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
437,Bar Harbor,US,44.3876,-68.2039,23.27,46,0,20.0,clear sky
438,Khani,GE,41.9563,42.9566,31.57,86,100,5.14,overcast clouds
439,Mount Isa,AU,-20.7333,139.5,74.97,100,100,4.61,overcast clouds
440,Halifax,CA,44.6453,-63.5724,26.22,70,100,8.01,overcast clouds
441,Wanxian,CN,30.8039,108.3897,46.11,76,99,2.35,overcast clouds
442,Marsaxlokk,MT,35.8419,14.5431,56.08,82,20,13.8,few clouds
443,Varnamo,SE,57.186,14.04,35.91,56,1,3.0,clear sky
444,Khasan,RU,42.4308,130.6434,19.18,51,0,17.02,clear sky
445,Iracoubo,GF,5.4802,-53.2011,80.26,74,38,10.51,scattered clouds
446,Sault Sainte Marie,CA,46.5168,-84.3333,21.88,68,40,3.44,scattered clouds
447,Carutapera,BR,-1.195,-46.02,75.36,93,100,6.87,heavy intensity rain
448,Manokwari,ID,-0.8667,134.0833,77.54,73,100,7.76,overcast clouds
449,Lavrentiya,RU,65.5833,-171.0,-5.12,89,3,5.1,clear sky
450,Cockburn Town,TC,21.4612,-71.1419,75.16,69,75,13.8,broken clouds
451,Mandalgovi,MN,45.7625,106.2708,-1.35,81,7,10.89,clear sky
452,Rocky Mountain House,CA,52.3668,-114.9188,35.35,64,98,3.44,overcast clouds
453,Harnosand,SE,62.6323,17.9379,32.0,72,12,15.77,few clouds
454,Porto Novo,BJ,6.4965,2.6036,84.02,61,81,6.08,broken clouds
455,Huicungo,PE,-7.2833,-76.8,78.64,90,99,1.52,overcast clouds
456,Salinopolis,BR,-0.6136,-47.3561,78.53,88,90,8.81,overcast clouds
457,Bodaybo,RU,57.8506,114.1933,-27.96,100,98,1.81,overcast clouds
458,Moose Factory,CA,51.2585,-80.6094,-2.2,65,0,11.5,clear sky
459,Moron,AR,-34.6534,-58.6198,89.02,47,0,4.0,clear sky
460,Praia,CV,14.9215,-23.5087,70.34,68,75,19.57,broken clouds
461,Shakawe,BW,-18.3667,21.85,67.8,88,100,7.43,overcast clouds
462,Isla Mujeres,MX,21.2311,-86.731,71.65,57,100,10.2,overcast clouds
463,Hambantota,LK,6.1241,81.1185,76.95,88,5,12.08,clear sky
464,Batagay-Alyta,RU,67.8006,130.4114,-19.12,95,84,2.35,broken clouds
465,Kolokani,ML,13.5728,-8.0339,81.48,10,5,9.8,clear sky
466,Pietarsaari,FI,63.65,22.6833,20.46,88,100,15.03,overcast clouds
467,Greenwood,US,34.1668,-82.1165,55.47,29,0,8.99,clear sky
468,Fuerte Olimpo,PY,-21.0415,-57.8738,102.52,23,12,4.27,few clouds
469,Saint-Joseph,RE,-21.3667,55.6167,79.18,79,18,12.26,few clouds
470,Avera,US,33.194,-82.5271,57.74,34,4,17.05,clear sky
471,Cacu,BR,-18.5567,-51.1308,71.31,93,100,10.38,overcast clouds
472,Hue,VN,16.4667,107.6,68.11,83,75,3.44,broken clouds
473,Alekseyevsk,RU,57.8406,108.3492,-2.72,99,100,2.33,overcast clouds
474,Panzhihua,CN,26.5851,101.7128,45.93,60,7,0.74,clear sky
475,Magadan,RU,59.5667,150.8,4.48,80,85,11.07,overcast clouds
476,Ridgecrest,US,35.6225,-117.6709,58.64,16,0,1.01,clear sky
477,Ratnagiri,IN,16.9833,73.3,72.05,65,0,5.91,clear sky
478,Karratha,AU,-20.7377,116.8463,82.69,62,47,21.56,scattered clouds
479,Dingle,PH,10.9995,122.6711,74.95,93,54,3.09,broken clouds
480,Simbahan,PH,6.3032,120.5836,81.05,77,30,8.81,scattered clouds
481,Acajutla,SV,13.5928,-89.8275,86.81,41,0,3.27,clear sky
482,Caravelas,BR,-17.7125,-39.2481,84.96,67,37,13.06,scattered clouds
483,Kingman,US,35.1894,-114.053,58.89,16,0,9.22,clear sky
484,Morgan City,US,29.6994,-91.2068,66.99,48,0,14.97,clear sky
485,Nouakchott,MR,18.0858,-15.9785,69.73,66,100,18.5,overcast clouds
486,Jamame,SO,0.0722,42.7506,76.77,75,74,12.35,broken clouds
487,Dandong,CN,40.1292,124.3947,17.83,44,0,3.78,clear sky
